name,category
4SEASONS,Clothes
adidas,Clothes
I am studio,Clothes
ISTNOVA,Clothes
Marc & Andre,Clothes
NEBBIA,Clothes
Reima,Clothes
Seiko Club,Clothes
World of watch,Clothes
Yves Saint Laurent,Clothes
Интернет-магазин Акушерство.ру,Clothes
ПЕРЕСТРОЙКА,Clothes
Farfetch,Clothes
FARFETCH,Clothes
Lassie,Clothes
Lamoda,Clothes
Marks & Spencer,Clothes
Bonafide,Clothes
Kanzler,Clothes
KANZLER,Clothes
Lee,Clothes
DKNY,Clothes
Inoxtime,Clothes
Masar Lingerie,Clothes
Futuriqa,Clothes
Happywear,Clothes
Zolla,Clothes
COLINS,Clothes
Four,Clothes
kari,Clothes
Kari,Clothes
KARI,Clothes
Nappyclub,Clothes
Respect,Clothes
2MOOD,Clothes
Etam,Clothes
Gulliver market,Clothes
TEZENIS,Clothes
интернет-магазин TEZENIS,Clothes
Интернет-магазин TEZENIS,Clothes
Juicy Couture,Clothes
Shopping live,Clothes
интернет-бутик Yves Rocher,Clothes
интернет-бутик «YVES ROCHER»,Clothes
Интернет-бутик «YVES ROCHER»,Clothes
kari KIDS,Clothes
KARI KIDS,Clothes
SuperStep,Clothes
интернет-магазин SuperStep,Clothes
Интернет-магазин SuperStep,Clothes
Delivery Club,Delivery
интернет-магазин ВкусВилл,Delivery
Сhef At Home,Delivery
Экспресс Точка Ру,Delivery
Яндекс Еда,Delivery
Яндекс.Еда,Delivery
Elementaree,Delivery
Николаевский,Delivery
Самокат,Delivery
Ужин Дома,Delivery
Vprok.ru Перекрёсток,Delivery
Кухня на районе,Delivery
Михайлик Kitchen,Delivery
Яндекс Лавка,Delivery
Яндекс.Лавка,Delivery
Веселый Водовоз,Delivery
Advance,Education
Puzzle English,Education
Skyeng,Education
SKYENG,Education
Skyeng Math,Education
Skysmart,Education
Для студентов ВШЭ,Education
Для студентов МГТУ им. Баумана,Education
Для студентов МГУ,Education
Для студентов НИУ ВШЭ СПб,Education
Парусная Академия,Education
Испаника,Education
Онлайн школа Испаника,Education
